
==========================================================================================
SOFTMAX GOLDEN MODEL -- TEST SUMMARY
==========================================================================================
MSE target  : <= 0.025
Avg MSE     : 1.026383e-04
Max MSE     : 8.580966e-03
Overall     : ALL PASS
==========================================================================================
Test  0 | bin neg_extreme  N=8  LOW      | N= 8 | MSE=1.8891e-04 | MAE=8.6976e-03 | MaxAE=3.3653e-02 | Sum_hw=1.0004 | PASS
Test 513 | rand-463 N=287                 | N=287 | MSE=1.6197e-05 | MAE=2.3813e-04 | MaxAE=6.8181e-02 | Sum_hw=0.9317 | PASS
Test 514 | rand-464 N=197                 | N=197 | MSE=1.9510e-05 | MAE=4.1774e-04 | MaxAE=5.8924e-02 | Sum_hw=1.0356 | PASS
Test 515 | rand-465 N=228                 | N=228 | MSE=7.6481e-06 | MAE=1.9604e-04 | MaxAE=4.1720e-02 | Sum_hw=1.0387 | PASS
Test 516 | rand-466 N=346                 | N=346 | MSE=1.2246e-06 | MAE=9.8831e-05 | MaxAE=1.6176e-02 | Sum_hw=0.9829 | PASS
Test 517 | rand-467 N=294                 | N=294 | MSE=1.3417e-05 | MAE=2.9680e-04 | MaxAE=6.0384e-02 | Sum_hw=1.0335 | PASS
Test 518 | rand-468 N=158                 | N=158 | MSE=7.6296e-06 | MAE=3.0749e-04 | MaxAE=2.7847e-02 | Sum_hw=0.9514 | PASS
Test 519 | rand-469 N=462                 | N=462 | MSE=2.8806e-06 | MAE=1.8993e-04 | MaxAE=2.5122e-02 | Sum_hw=0.9391 | PASS
Test 520 | rand-470 N=352                 | N=352 | MSE=2.4193e-05 | MAE=3.5991e-04 | MaxAE=8.3554e-02 | Sum_hw=1.0404 | PASS
Test 521 | rand-471 N=228                 | N=228 | MSE=3.6453e-06 | MAE=7.0341e-04 | MaxAE=1.4181e-02 | Sum_hw=1.1523 | PASS
Test 522 | rand-472 N=323                 | N=323 | MSE=4.3041e-07 | MAE=2.4768e-04 | MaxAE=6.3552e-03 | Sum_hw=1.0458 | PASS
Test 523 | rand-473 N=64                  | N=64 | MSE=1.4999e-04 | MAE=2.1728e-03 | MaxAE=7.2184e-02 | Sum_hw=1.0053 | PASS
Test 524 | rand-474 N=352                 | N=352 | MSE=8.4507e-06 | MAE=2.6464e-04 | MaxAE=4.9746e-02 | Sum_hw=1.0336 | PASS
Test 525 | rand-475 N=457                 | N=457 | MSE=8.6326e-06 | MAE=2.5802e-04 | MaxAE=5.6694e-02 | Sum_hw=1.0372 | PASS
Test 526 | rand-476 N=419                 | N=419 | MSE=9.2524e-06 | MAE=2.1659e-04 | MaxAE=5.6508e-02 | Sum_hw=0.9229 | PASS
Test 527 | rand-477 N=481                 | N=481 | MSE=7.7170e-06 | MAE=1.7663e-04 | MaxAE=5.8998e-02 | Sum_hw=0.9376 | PASS
Test 528 | rand-478 N=188                 | N=188 | MSE=1.1636e-05 | MAE=2.8505e-04 | MaxAE=4.6183e-02 | Sum_hw=0.9464 | PASS
Test 529 | rand-479 N=184                 | N=184 | MSE=2.3224e-05 | MAE=3.6530e-04 | MaxAE=6.5356e-02 | Sum_hw=0.9328 | PASS
Test 530 | rand-480 N=278                 | N=278 | MSE=5.8013e-06 | MAE=2.5545e-04 | MaxAE=3.6697e-02 | Sum_hw=1.0024 | PASS
Test 531 | rand-481 N=243                 | N=243 | MSE=5.5399e-06 | MAE=3.8379e-04 | MaxAE=3.0959e-02 | Sum_hw=1.0407 | PASS
Test 532 | rand-482 N=95                  | N=95 | MSE=1.6837e-05 | MAE=5.3309e-04 | MaxAE=3.8390e-02 | Sum_hw=0.9494 | PASS
Test 533 | rand-483 N=128                 | N=128 | MSE=3.5954e-05 | MAE=5.3275e-04 | MaxAE=6.7838e-02 | Sum_hw=0.9318 | PASS
Test 534 | rand-484 N=399                 | N=399 | MSE=1.0758e-05 | MAE=2.8157e-04 | MaxAE=5.3528e-02 | Sum_hw=0.9590 | PASS
Test 535 | rand-485 N=47                  | N=47 | MSE=9.9648e-05 | MAE=1.4561e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 536 | rand-486 N=344                 | N=344 | MSE=8.4912e-06 | MAE=2.8301e-04 | MaxAE=4.8801e-02 | Sum_hw=1.0302 | PASS
Test 537 | rand-487 N=92                  | N=92 | MSE=4.8055e-05 | MAE=7.3309e-04 | MaxAE=6.6484e-02 | Sum_hw=0.9326 | PASS
Test 538 | rand-488 N=184                 | N=184 | MSE=1.8699e-05 | MAE=4.4843e-04 | MaxAE=5.2760e-02 | Sum_hw=1.0230 | PASS
Test 539 | rand-489 N=388                 | N=388 | MSE=2.2463e-06 | MAE=1.0083e-04 | MaxAE=2.6851e-02 | Sum_hw=0.9609 | PASS
Test 540 | rand-490 N=321                 | N=321 | MSE=1.4842e-05 | MAE=3.0345e-04 | MaxAE=6.6481e-02 | Sum_hw=1.0356 | PASS
Test 541 | rand-491 N=96                  | N=96 | MSE=3.8297e-05 | MAE=1.0018e-03 | MaxAE=5.2383e-02 | Sum_hw=1.0086 | PASS
Test 542 | rand-492 N=323                 | N=323 | MSE=5.6222e-06 | MAE=3.4889e-04 | MaxAE=3.4414e-02 | Sum_hw=1.0964 | PASS
Test 543 | rand-493 N=218                 | N=218 | MSE=2.0971e-05 | MAE=3.1239e-04 | MaxAE=6.7613e-02 | Sum_hw=0.9319 | PASS
Test 544 | rand-494 N=359                 | N=359 | MSE=2.9753e-06 | MAE=9.6446e-05 | MaxAE=3.2629e-02 | Sum_hw=0.9691 | PASS
Test 545 | rand-495 N=412                 | N=412 | MSE=5.1181e-06 | MAE=1.4401e-04 | MaxAE=4.4718e-02 | Sum_hw=1.0301 | PASS
Test 546 | rand-496 N=41                  | N=41 | MSE=1.0323e-04 | MAE=1.6223e-03 | MaxAE=6.5044e-02 | Sum_hw=0.9335 | PASS
Test 547 | rand-497 N=374                 | N=374 | MSE=1.1003e-05 | MAE=2.3862e-04 | MaxAE=6.2283e-02 | Sum_hw=1.0353 | PASS
Test 548 | rand-498 N=155                 | N=155 | MSE=1.0383e-05 | MAE=2.7777e-04 | MaxAE=4.0005e-02 | Sum_hw=1.0370 | PASS
Test 549 | rand-499 N=55                  | N=55 | MSE=5.4658e-05 | MAE=1.0956e-03 | MaxAE=5.4529e-02 | Sum_hw=0.9397 | PASS
Test 550 | rand-500 N=112                 | N=112 | MSE=2.9902e-05 | MAE=6.8618e-04 | MaxAE=5.2533e-02 | Sum_hw=1.0282 | PASS
Test 551 | rand-501 N=365                 | N=365 | MSE=8.9396e-07 | MAE=9.6674e-05 | MaxAE=1.5222e-02 | Sum_hw=0.9796 | PASS
Test 552 | rand-502 N=248                 | N=248 | MSE=6.4047e-06 | MAE=2.0501e-04 | MaxAE=3.7730e-02 | Sum_hw=0.9492 | PASS
Test 553 | rand-503 N=94                  | N=94 | MSE=5.0026e-05 | MAE=1.2857e-03 | MaxAE=4.8646e-02 | Sum_hw=0.9645 | PASS
Test 554 | rand-504 N=338                 | N=338 | MSE=1.0112e-05 | MAE=1.8649e-04 | MaxAE=5.8368e-02 | Sum_hw=0.9370 | PASS
Test 555 | rand-505 N=350                 | N=350 | MSE=1.5159e-05 | MAE=4.1788e-04 | MaxAE=6.3530e-02 | Sum_hw=1.0720 | PASS
Test 556 | rand-506 N=244                 | N=244 | MSE=5.1968e-06 | MAE=1.6397e-04 | MaxAE=3.5473e-02 | Sum_hw=1.0313 | PASS
Test 557 | rand-507 N=81                  | N=81 | MSE=6.3824e-05 | MAE=1.4807e-03 | MaxAE=5.5843e-02 | Sum_hw=0.9444 | PASS
Test 558 | rand-508 N=260                 | N=260 | MSE=1.7591e-05 | MAE=2.6181e-04 | MaxAE=6.7629e-02 | Sum_hw=0.9319 | PASS
Test 559 | rand-509 N=139                 | N=139 | MSE=3.2570e-05 | MAE=4.8861e-04 | MaxAE=6.7281e-02 | Sum_hw=0.9321 | PASS
Test 560 | rand-510 N=161                 | N=161 | MSE=2.7550e-05 | MAE=4.1900e-04 | MaxAE=6.6594e-02 | Sum_hw=0.9325 | PASS
Test 561 | rand-511 N=347                 | N=347 | MSE=1.8080e-06 | MAE=1.1961e-04 | MaxAE=2.1064e-02 | Sum_hw=0.9585 | PASS
Test 562 | rand-512 N=48                  | N=48 | MSE=9.7564e-05 | MAE=1.4257e-03 | MaxAE=6.8433e-02 | Sum_hw=0.9316 | PASS
Test 563 | rand-513 N=481                 | N=481 | MSE=1.6772e-05 | MAE=2.6234e-04 | MaxAE=8.5922e-02 | Sum_hw=1.0812 | PASS
Test 564 | rand-514 N=194                 | N=194 | MSE=1.4681e-05 | MAE=3.5727e-04 | MaxAE=5.2325e-02 | Sum_hw=1.0353 | PASS
Test 565 | rand-515 N=304                 | N=304 | MSE=1.1859e-05 | MAE=3.0394e-04 | MaxAE=4.3589e-02 | Sum_hw=0.9948 | PASS
Test 566 | rand-516 N=143                 | N=143 | MSE=9.0029e-06 | MAE=5.9526e-04 | MaxAE=2.9542e-02 | Sum_hw=1.0142 | PASS
Test 567 | rand-517 N=199                 | N=199 | MSE=1.0079e-05 | MAE=3.9121e-04 | MaxAE=3.9360e-02 | Sum_hw=0.9400 | PASS
Test 568 | rand-518 N= 5                  | N= 5 | MSE=9.3669e-04 | MAE=1.3687e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 569 | rand-519 N=328                 | N=328 | MSE=3.5612e-05 | MAE=3.9201e-04 | MaxAE=1.0709e-01 | Sum_hw=1.0862 | PASS
Test 570 | rand-520 N=402                 | N=402 | MSE=2.5058e-06 | MAE=2.0538e-04 | MaxAE=2.2571e-02 | Sum_hw=0.9483 | PASS
Test 571 | rand-521 N=286                 | N=286 | MSE=2.1811e-05 | MAE=4.1398e-04 | MaxAE=6.1495e-02 | Sum_hw=1.0046 | PASS
Test 572 | rand-522 N=254                 | N=254 | MSE=1.7108e-05 | MAE=4.1398e-04 | MaxAE=5.4491e-02 | Sum_hw=1.0231 | PASS
Test 573 | rand-523 N=479                 | N=479 | MSE=2.2819e-06 | MAE=1.0582e-04 | MaxAE=2.9119e-02 | Sum_hw=0.9800 | PASS
Test 574 | rand-524 N=465                 | N=465 | MSE=1.5605e-05 | MAE=2.6423e-04 | MaxAE=8.1469e-02 | Sum_hw=1.0401 | PASS
Test 575 | rand-525 N=379                 | N=379 | MSE=7.1526e-06 | MAE=2.2435e-04 | MaxAE=5.0034e-02 | Sum_hw=1.0206 | PASS
Test 576 | rand-526 N=334                 | N=334 | MSE=1.0917e-05 | MAE=2.7614e-04 | MaxAE=5.6584e-02 | Sum_hw=1.0380 | PASS
Test 577 | rand-527 N=420                 | N=420 | MSE=6.6807e-06 | MAE=2.4112e-04 | MaxAE=4.6782e-02 | Sum_hw=1.0385 | PASS
Test 578 | rand-528 N=324                 | N=324 | MSE=1.9348e-06 | MAE=1.2457e-04 | MaxAE=2.1196e-02 | Sum_hw=0.9596 | PASS
Test 579 | rand-529 N=497                 | N=497 | MSE=5.8371e-06 | MAE=1.4163e-04 | MaxAE=5.2353e-02 | Sum_hw=1.0384 | PASS
Test 580 | rand-530 N=367                 | N=367 | MSE=3.4378e-06 | MAE=1.3367e-04 | MaxAE=3.0197e-02 | Sum_hw=0.9509 | PASS
Test 581 | rand-531 N=171                 | N=171 | MSE=4.1206e-05 | MAE=7.4333e-04 | MaxAE=7.3443e-02 | Sum_hw=1.0198 | PASS
Test 582 | rand-532 N=427                 | N=427 | MSE=3.1812e-06 | MAE=1.1764e-04 | MaxAE=3.5857e-02 | Sum_hw=0.9498 | PASS
Test 583 | rand-533 N= 5                  | N= 5 | MSE=9.3669e-04 | MAE=1.3687e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 584 | rand-534 N=43                  | N=43 | MSE=9.9508e-05 | MAE=1.5500e-03 | MaxAE=6.5401e-02 | Sum_hw=0.9333 | PASS
Test 585 | rand-535 N=50                  | N=50 | MSE=9.3646e-05 | MAE=1.3690e-03 | MaxAE=6.8427e-02 | Sum_hw=0.9315 | PASS
Test 586 | rand-536 N=349                 | N=349 | MSE=8.3236e-06 | MAE=1.7633e-04 | MaxAE=5.3479e-02 | Sum_hw=0.9385 | PASS
Test 587 | rand-537 N=315                 | N=315 | MSE=1.5326e-05 | MAE=3.5724e-04 | MaxAE=4.8890e-02 | Sum_hw=0.9946 | PASS
Test 588 | rand-538 N=480                 | N=480 | MSE=5.9136e-06 | MAE=2.3735e-04 | MaxAE=4.5609e-02 | Sum_hw=1.0903 | PASS
Test 589 | rand-539 N=340                 | N=340 | MSE=2.4035e-06 | MAE=2.6792e-04 | MaxAE=1.8422e-02 | Sum_hw=0.9372 | PASS
Test 590 | rand-540 N=350                 | N=350 | MSE=1.4214e-05 | MAE=3.2014e-04 | MaxAE=5.8393e-02 | Sum_hw=1.0112 | PASS
Test 591 | rand-541 N=294                 | N=294 | MSE=1.7392e-06 | MAE=1.0801e-04 | MaxAE=2.0531e-02 | Sum_hw=0.9682 | PASS
Test 592 | rand-542 N=339                 | N=339 | MSE=2.2416e-05 | MAE=4.0297e-04 | MaxAE=6.3091e-02 | Sum_hw=0.9805 | PASS
Test 593 | rand-543 N=365                 | N=365 | MSE=1.1937e-05 | MAE=2.7893e-04 | MaxAE=6.1117e-02 | Sum_hw=1.0593 | PASS
Test 594 | rand-544 N=306                 | N=306 | MSE=1.2533e-06 | MAE=1.0821e-04 | MaxAE=1.5325e-02 | Sum_hw=0.9669 | PASS
Test 595 | rand-545 N=457                 | N=457 | MSE=2.7196e-06 | MAE=1.8948e-04 | MaxAE=2.9316e-02 | Sum_hw=0.9822 | PASS
Test 596 | rand-546 N=327                 | N=327 | MSE=2.2070e-05 | MAE=3.5399e-04 | MaxAE=7.3960e-02 | Sum_hw=1.0322 | PASS
Test 597 | rand-547 N=235                 | N=235 | MSE=3.0805e-05 | MAE=5.2275e-04 | MaxAE=8.0619e-02 | Sum_hw=1.0384 | PASS
Test 598 | rand-548 N=369                 | N=369 | MSE=4.8649e-06 | MAE=1.3030e-04 | MaxAE=4.1954e-02 | Sum_hw=1.0358 | PASS
Test 599 | rand-549 N=405                 | N=405 | MSE=3.9462e-07 | MAE=4.7141e-05 | MaxAE=1.1812e-02 | Sum_hw=0.9879 | PASS
Test 600 | rand-550 N=463                 | N=463 | MSE=9.3636e-06 | MAE=2.1200e-04 | MaxAE=6.0981e-02 | Sum_hw=0.9478 | PASS
Test 601 | rand-551 N=217                 | N=217 | MSE=1.7966e-05 | MAE=3.0229e-04 | MaxAE=6.2390e-02 | Sum_hw=0.9344 | PASS
Test 602 | rand-552 N=74                  | N=74 | MSE=7.6203e-06 | MAE=5.3323e-04 | MaxAE=1.7468e-02 | Sum_hw=0.9605 | PASS
Test 603 | rand-553 N=351                 | N=351 | MSE=1.8016e-05 | MAE=3.8534e-04 | MaxAE=7.1684e-02 | Sum_hw=1.1273 | PASS
Test 604 | rand-554 N=366                 | N=366 | MSE=2.2837e-05 | MAE=3.5762e-04 | MaxAE=8.7486e-02 | Sum_hw=1.1270 | PASS
Test 605 | rand-555 N=465                 | N=465 | MSE=1.6343e-05 | MAE=2.6960e-04 | MaxAE=8.1237e-02 | Sum_hw=1.0376 | PASS
Test 606 | rand-556 N=226                 | N=226 | MSE=1.0095e-05 | MAE=2.3955e-04 | MaxAE=4.7388e-02 | Sum_hw=0.9459 | PASS
Test 607 | rand-557 N=204                 | N=204 | MSE=5.9333e-06 | MAE=2.4066e-04 | MaxAE=2.7880e-02 | Sum_hw=0.9925 | PASS
Test 608 | rand-558 N=361                 | N=361 | MSE=1.2741e-05 | MAE=2.5225e-04 | MaxAE=6.5481e-02 | Sum_hw=1.0399 | PASS
Test 609 | rand-559 N=462                 | N=462 | MSE=7.3464e-06 | MAE=1.8075e-04 | MaxAE=4.1211e-02 | Sum_hw=0.9988 | PASS
Test 610 | rand-560 N=98                  | N=98 | MSE=5.9917e-05 | MAE=1.1000e-03 | MaxAE=7.3151e-02 | Sum_hw=1.0385 | PASS
Test 611 | rand-561 N=374                 | N=374 | MSE=7.0299e-06 | MAE=2.0161e-04 | MaxAE=4.0035e-02 | Sum_hw=1.0047 | PASS
Test 612 | rand-562 N=11                  | N=11 | MSE=5.8557e-04 | MAE=1.0790e-02 | MaxAE=6.3825e-02 | Sum_hw=1.0090 | PASS
Test 613 | rand-563 N=134                 | N=134 | MSE=1.5315e-05 | MAE=3.9525e-04 | MaxAE=4.4504e-02 | Sum_hw=0.9470 | PASS
Test 614 | rand-564 N=305                 | N=305 | MSE=7.3226e-06 | MAE=3.4981e-04 | MaxAE=3.6664e-02 | Sum_hw=1.0255 | PASS
Test 615 | rand-565 N=26                  | N=26 | MSE=1.8013e-04 | MAE=2.6321e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 616 | rand-566 N=155                 | N=155 | MSE=3.5743e-06 | MAE=2.2504e-04 | MaxAE=1.6900e-02 | Sum_hw=0.9651 | PASS
Test 617 | rand-567 N=281                 | N=281 | MSE=2.2072e-05 | MAE=4.6220e-04 | MaxAE=6.9583e-02 | Sum_hw=1.0786 | PASS
Test 618 | rand-568 N=52                  | N=52 | MSE=8.0601e-05 | MAE=1.2773e-03 | MaxAE=6.4718e-02 | Sum_hw=0.9336 | PASS
Test 619 | rand-569 N=331                 | N=331 | MSE=5.3020e-07 | MAE=7.4773e-05 | MaxAE=1.1223e-02 | Sum_hw=0.9753 | PASS
Test 620 | rand-570 N=22                  | N=22 | MSE=1.6487e-04 | MAE=2.9110e-03 | MaxAE=6.0096e-02 | Sum_hw=0.9360 | PASS
Test 621 | rand-571 N=128                 | N=128 | MSE=2.1433e-05 | MAE=4.6468e-04 | MaxAE=5.1814e-02 | Sum_hw=0.9405 | PASS
Test 622 | rand-572 N=432                 | N=432 | MSE=9.1480e-06 | MAE=2.6546e-04 | MaxAE=5.5997e-02 | Sum_hw=1.0911 | PASS
Test 623 | rand-573 N=267                 | N=267 | MSE=8.1142e-06 | MAE=3.3567e-04 | MaxAE=4.3541e-02 | Sum_hw=1.0450 | PASS
Test 624 | rand-574 N=452                 | N=452 | MSE=1.0317e-05 | MAE=1.5131e-04 | MaxAE=6.8288e-02 | Sum_hw=0.9316 | PASS
Test 625 | rand-575 N=311                 | N=311 | MSE=5.9769e-06 | MAE=1.8268e-04 | MaxAE=4.1781e-02 | Sum_hw=1.0267 | PASS
Test 626 | rand-576 N=275                 | N=275 | MSE=1.7006e-05 | MAE=2.4886e-04 | MaxAE=6.8386e-02 | Sum_hw=0.9316 | PASS
Test 627 | rand-577 N=59                  | N=59 | MSE=5.5179e-05 | MAE=1.0723e-03 | MaxAE=5.6722e-02 | Sum_hw=0.9367 | PASS
Test 628 | rand-578 N=299                 | N=299 | MSE=1.3597e-05 | MAE=3.0509e-04 | MaxAE=4.5572e-02 | Sum_hw=0.9999 | PASS
Test 629 | rand-579 N=143                 | N=143 | MSE=1.2319e-05 | MAE=5.7798e-04 | MaxAE=2.7261e-02 | Sum_hw=0.9521 | PASS
Test 630 | rand-580 N=254                 | N=254 | MSE=1.8417e-05 | MAE=2.6943e-04 | MaxAE=6.8396e-02 | Sum_hw=0.9316 | PASS
Test 631 | rand-581 N=217                 | N=217 | MSE=2.7293e-05 | MAE=5.8187e-04 | MaxAE=7.0984e-02 | Sum_hw=1.0157 | PASS
Test 632 | rand-582 N=392                 | N=392 | MSE=1.5633e-06 | MAE=1.3917e-04 | MaxAE=1.7998e-02 | Sum_hw=0.9469 | PASS
Test 633 | rand-583 N=496                 | N=496 | MSE=2.0569e-06 | MAE=1.0355e-04 | MaxAE=3.0416e-02 | Sum_hw=1.0327 | PASS
Test 634 | rand-584 N=436                 | N=436 | MSE=1.1206e-05 | MAE=7.1625e-04 | MaxAE=3.9733e-02 | Sum_hw=1.3117 | PASS
Test 635 | rand-585 N=436                 | N=436 | MSE=1.9275e-05 | MAE=2.8803e-04 | MaxAE=7.9370e-02 | Sum_hw=1.0332 | PASS
Test 636 | rand-586 N=267                 | N=267 | MSE=1.1209e-05 | MAE=3.9232e-04 | MaxAE=4.2793e-02 | Sum_hw=0.9528 | PASS
Test 637 | rand-587 N=223                 | N=223 | MSE=2.3993e-05 | MAE=4.6968e-04 | MaxAE=6.2075e-02 | Sum_hw=0.9724 | PASS
Test 638 | rand-588 N=60                  | N=60 | MSE=7.3525e-05 | MAE=1.1236e-03 | MaxAE=6.6412e-02 | Sum_hw=0.9326 | PASS
Test 639 | rand-589 N=342                 | N=342 | MSE=7.4558e-06 | MAE=1.7235e-04 | MaxAE=4.9659e-02 | Sum_hw=0.9411 | PASS
Test 640 | rand-590 N=220                 | N=220 | MSE=2.1285e-05 | MAE=3.1107e-04 | MaxAE=6.8430e-02 | Sum_hw=0.9316 | PASS
Test 641 | rand-591 N=436                 | N=436 | MSE=6.2442e-06 | MAE=2.3411e-04 | MaxAE=3.6902e-02 | Sum_hw=0.9814 | PASS
Test 642 | rand-592 N=460                 | N=460 | MSE=2.6009e-05 | MAE=3.4346e-04 | MaxAE=1.0094e-01 | Sum_hw=1.0439 | PASS
Test 643 | rand-593 N=409                 | N=409 | MSE=1.1278e-05 | MAE=1.6695e-04 | MaxAE=6.7916e-02 | Sum_hw=0.9317 | PASS
Test 644 | rand-594 N=345                 | N=345 | MSE=2.2176e-05 | MAE=3.4862e-04 | MaxAE=7.7373e-02 | Sum_hw=1.0345 | PASS
Test 645 | rand-595 N=112                 | N=112 | MSE=1.6772e-05 | MAE=9.3541e-04 | MaxAE=3.7853e-02 | Sum_hw=1.0519 | PASS
Test 646 | rand-596 N=48                  | N=48 | MSE=9.7571e-05 | MAE=1.4257e-03 | MaxAE=6.8435e-02 | Sum_hw=0.9316 | PASS
Test 647 | rand-597 N=112                 | N=112 | MSE=1.3549e-05 | MAE=8.6171e-04 | MaxAE=2.7444e-02 | Sum_hw=0.9369 | PASS
Test 648 | rand-598 N=377                 | N=377 | MSE=7.1089e-06 | MAE=2.7606e-04 | MaxAE=4.3957e-02 | Sum_hw=0.9880 | PASS
Test 649 | rand-599 N=165                 | N=165 | MSE=1.0944e-05 | MAE=3.3024e-04 | MaxAE=4.1878e-02 | Sum_hw=0.9455 | PASS
Test 650 | rand-600 N=188                 | N=188 | MSE=1.0765e-05 | MAE=4.6580e-04 | MaxAE=2.9075e-02 | Sum_hw=0.9614 | PASS
Test 651 | rand-601 N=461                 | N=461 | MSE=6.3549e-06 | MAE=1.6343e-04 | MaxAE=5.1855e-02 | Sum_hw=1.0284 | PASS
Test 652 | rand-602 N=254                 | N=254 | MSE=1.5598e-05 | MAE=4.4230e-04 | MaxAE=5.7721e-02 | Sum_hw=1.1051 | PASS
Test 653 | rand-603 N=156                 | N=156 | MSE=2.4527e-05 | MAE=4.1649e-04 | MaxAE=6.1826e-02 | Sum_hw=0.9350 | PASS
Test 654 | rand-604 N=198                 | N=198 | MSE=7.0382e-05 | MAE=7.4181e-04 | MaxAE=1.1587e-01 | Sum_hw=1.0849 | PASS
Test 655 | rand-605 N=278                 | N=278 | MSE=1.3520e-05 | MAE=2.3212e-04 | MaxAE=6.1266e-02 | Sum_hw=0.9355 | PASS
Test 656 | rand-606 N=311                 | N=311 | MSE=2.2467e-06 | MAE=1.6296e-04 | MaxAE=1.7901e-02 | Sum_hw=0.9851 | PASS
Test 657 | rand-607 N=226                 | N=226 | MSE=2.8540e-06 | MAE=1.8655e-04 | MaxAE=1.7851e-02 | Sum_hw=0.9578 | PASS
Test 658 | rand-608 N=316                 | N=316 | MSE=7.7531e-06 | MAE=3.4103e-04 | MaxAE=3.8783e-02 | Sum_hw=0.9949 | PASS
Test 659 | rand-609 N=432                 | N=432 | MSE=6.9123e-06 | MAE=1.8704e-04 | MaxAE=5.2727e-02 | Sum_hw=0.9409 | PASS
Test 660 | rand-610 N=224                 | N=224 | MSE=1.5459e-05 | MAE=2.8419e-04 | MaxAE=5.8658e-02 | Sum_hw=0.9363 | PASS
Test 661 | rand-611 N=187                 | N=187 | MSE=3.9527e-06 | MAE=1.7388e-04 | MaxAE=2.6573e-02 | Sum_hw=0.9675 | PASS
Test 662 | rand-612 N=396                 | N=396 | MSE=7.4048e-06 | MAE=1.5116e-04 | MaxAE=5.3951e-02 | Sum_hw=0.9401 | PASS
Test 663 | rand-613 N=291                 | N=291 | MSE=1.1444e-05 | MAE=3.5304e-04 | MaxAE=5.3749e-02 | Sum_hw=1.0856 | PASS
Test 664 | rand-614 N=215                 | N=215 | MSE=1.4918e-05 | MAE=2.9403e-04 | MaxAE=5.6198e-02 | Sum_hw=0.9368 | PASS
Test 665 | rand-615 N=334                 | N=334 | MSE=4.9829e-06 | MAE=1.5808e-04 | MaxAE=4.0155e-02 | Sum_hw=1.0275 | PASS
Test 666 | rand-616 N=92                  | N=92 | MSE=3.4689e-05 | MAE=6.6127e-04 | MaxAE=5.6317e-02 | Sum_hw=0.9392 | PASS
Test 667 | rand-617 N=124                 | N=124 | MSE=5.0969e-06 | MAE=2.8463e-04 | MaxAE=1.9797e-02 | Sum_hw=0.9647 | PASS
Test 668 | rand-618 N=447                 | N=447 | MSE=3.2864e-06 | MAE=1.1739e-04 | MaxAE=3.6880e-02 | Sum_hw=0.9475 | PASS
Test 669 | rand-619 N=309                 | N=309 | MSE=6.4669e-06 | MAE=2.2520e-04 | MaxAE=4.1431e-02 | Sum_hw=1.0133 | PASS
Test 670 | rand-620 N=477                 | N=477 | MSE=3.7711e-06 | MAE=1.9722e-04 | MaxAE=3.5090e-02 | Sum_hw=1.0200 | PASS
Test 671 | rand-621 N=13                  | N=13 | MSE=3.6026e-04 | MAE=5.2643e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 672 | rand-622 N=327                 | N=327 | MSE=2.8284e-05 | MAE=4.6217e-04 | MaxAE=9.1569e-02 | Sum_hw=1.1427 | PASS
Test 673 | rand-623 N=332                 | N=332 | MSE=9.4461e-06 | MAE=3.1299e-04 | MaxAE=5.0384e-02 | Sum_hw=1.0187 | PASS
Test 674 | rand-624 N=437                 | N=437 | MSE=2.1391e-06 | MAE=8.8457e-05 | MaxAE=2.9856e-02 | Sum_hw=1.0211 | PASS
Test 675 | rand-625 N=190                 | N=190 | MSE=2.4646e-05 | MAE=3.6019e-04 | MaxAE=6.8430e-02 | Sum_hw=0.9316 | PASS
Test 676 | rand-626 N=225                 | N=225 | MSE=2.6616e-06 | MAE=1.7910e-04 | MaxAE=1.9760e-02 | Sum_hw=0.9597 | PASS
Test 677 | rand-627 N=121                 | N=121 | MSE=1.8681e-05 | MAE=7.0023e-04 | MaxAE=3.5882e-02 | Sum_hw=0.9728 | PASS
Test 678 | rand-628 N=80                  | N=80 | MSE=1.9107e-05 | MAE=9.3079e-04 | MaxAE=3.4333e-02 | Sum_hw=1.0157 | PASS
Test 679 | rand-629 N=83                  | N=83 | MSE=2.3731e-05 | MAE=8.2196e-04 | MaxAE=3.4737e-02 | Sum_hw=1.0013 | PASS
Test 680 | rand-630 N=295                 | N=295 | MSE=1.1916e-05 | MAE=4.0276e-04 | MaxAE=5.5611e-02 | Sum_hw=1.0369 | PASS
Test 681 | rand-631 N=385                 | N=385 | MSE=4.1643e-06 | MAE=1.4063e-04 | MaxAE=3.9004e-02 | Sum_hw=1.0239 | PASS
Test 682 | rand-632 N=229                 | N=229 | MSE=1.1300e-05 | MAE=2.5673e-04 | MaxAE=5.0366e-02 | Sum_hw=0.9412 | PASS
Test 683 | rand-633 N=18                  | N=18 | MSE=2.6019e-04 | MAE=3.8020e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 684 | rand-634 N=148                 | N=148 | MSE=2.7667e-05 | MAE=5.9169e-04 | MaxAE=5.6267e-02 | Sum_hw=1.0250 | PASS
